trip_id,rider_id,driver_id,vehicle_id,start_time,end_time,start_location,end_location,distance_km,fare
120,53,37,108,2023-04-08 02:53:58,2023-04-08 03:43:58,Beach,Restaurant District,2.39,18.59
121,47,20,46,2024-01-19 08:59:23,2024-01-19 09:17:23,Hospital,Stadium,16.96,32.44
122,410,64,48,2023-12-27 03:42:17,2023-12-27 04:31:17,Hotel District,Downtown,17.85,41.53
123,432,97,19,2023-02-13 12:37:49,2023-02-13 12:59:49,Hotel District,Stadium,5.43,16.14
124,241,24,8,2024-11-26 17:02:20,2024-11-26 18:00:20,University,Suburb,20.32,47.48
125,7,16,99,2024-07-09 02:38:52,2024-07-09 02:58:52,Stadium,Hotel District,48.8,80.7
126,127,95,10,2023-06-04 16:58:55,2023-06-04 17:32:55,Restaurant District,Hotel District,6.51,20.77
127,341,27,75,2023-10-30 05:46:39,2023-10-30 06:34:39,University,City Center,17.51,40.77
128,323,94,48,2024-08-01 10:40:20,2024-08-01 11:20:20,Park,Airport,14.16,33.74
129,327,39,40,2023-10-07 22:50:23,2023-10-07 22:58:23,Suburb,Residential Area,12.45,23.17
130,58,31,82,2023-12-04 05:21:35,2023-12-04 05:46:35,Downtown,Train Station,40.13,68.95
131,300,16,51,2024-09-04 22:42:22,2024-09-04 23:02:22,Downtown,Business District,39.61,66.91
132,244,89,60,2023-10-16 11:22:22,2023-10-16 12:16:22,Airport,Shopping Mall,9.57,30.36
133,47,88,42,2024-12-24 00:16:44,2024-12-24 01:09:44,Residential Area,Downtown,4.87,23.05
134,331,20,119,2024-02-21 14:21:02,2024-02-21 15:16:02,Airport,Train Station,25.42,54.38
135,163,72,101,2024-05-15 17:04:19,2024-05-15 17:57:19,Hospital,Hotel District,44.81,82.97
136,376,25,20,2024-06-19 08:33:03,2024-06-19 09:02:03,Hospital,Restaurant District,8.47,22.46
137,461,6,110,2024-07-02 20:27:46,2024-07-02 21:00:46,Park,University,28.05,52.83
138,251,25,20,2024-02-27 05:49:17,2024-02-27 06:16:17,Hospital,Restaurant District,24.48,45.97
139,445,77,118,2024-10-30 10:01:01,2024-10-30 10:41:01,Train Station,Airport,27.49,53.73
140,231,38,114,2024-02-25 16:16:00,2024-02-25 16:44:00,Beach,Downtown,39.24,68.36
141,260,49,94,2023-05-25 02:36:35,2023-05-25 02:42:35,Business District,Suburb,19.48,33.22
142,318,31,42,2024-07-14 00:28:50,2024-07-14 00:37:50,Residential Area,Park,41.31,66.72
143,98,68,99,2024-08-17 18:19:05,2024-08-17 18:59:05,Train Station,Business District,15.59,35.88
144,210,83,94,2023-03-27 19:12:02,2023-03-27 19:23:02,Park,Residential Area,5.2,13.05
145,428,17,18,2024-11-09 11:05:08,2024-11-09 11:12:08,Shopping Mall,Airport,25.3,42.2
146,51,5,74,2024-05-13 11:07:05,2024-05-13 12:05:05,Stadium,Residential Area,25.52,55.28
147,320,90,76,2023-07-18 19:02:24,2023-07-18 19:10:24,Hospital,Shopping Mall,31.09,51.13
148,37,2,19,2024-05-24 08:03:14,2024-05-24 08:39:14,City Center,Suburb,5.84,20.26
149,411,82,5,2023-10-08 08:08:57,2023-10-08 08:48:57,Restaurant District,City Center,21.97,45.45
150,189,91,105,2024-10-01 17:49:03,2024-10-01 18:33:03,University,Park,3.95,19.43
151,37,39,40,2023-06-17 16:40:07,2023-06-17 17:18:07,Airport,Restaurant District,13.09,31.63
152,198,25,20,2024-02-13 16:55:48,2024-02-13 17:42:48,Shopping Mall,Business District,32.02,62.28
153,92,72,96,2024-03-09 12:30:49,2024-03-09 13:01:49,Restaurant District,Airport,38.78,68.42
154,296,46,37,2024-06-29 16:29:20,2024-06-29 17:16:20,Stadium,City Center,7.0,24.75
155,406,24,8,2024-01-28 00:09:19,2024-01-28 00:35:19,Residential Area,Train Station,27.63,50.45
156,308,57,70,2024-12-01 23:32:21,2024-12-01 23:57:21,Park,Hospital,42.55,72.57
157,212,98,82,2024-10-03 16:38:41,2024-10-03 17:29:41,Hospital,Business District,13.55,35.58
158,280,28,104,2024-08-17 17:50:08,2024-08-17 18:30:08,City Center,Restaurant District,14.2,33.8
159,493,58,103,2023-11-05 10:18:16,2023-11-05 10:23:16,Restaurant District,Downtown,49.18,77.52
160,306,3,67,2023-04-15 22:10:48,2023-04-15 22:34:48,Downtown,University,49.25,82.38
161,110,41,65,2024-08-22 06:13:56,2024-08-22 07:10:56,Restaurant District,Suburb,15.25,39.62
162,284,66,72,2024-03-19 06:01:34,2024-03-19 06:42:34,Train Station,Airport,3.81,18.46
163,183,20,46,2023-07-25 19:44:15,2023-07-25 20:12:15,City Center,Business District,13.99,30.48
164,132,39,40,2024-03-19 02:39:05,2024-03-19 03:09:05,Business District,City Center,12.44,28.66
165,40,93,42,2024-09-07 20:48:19,2024-09-07 21:23:19,Train Station,Beach,41.63,73.7
166,354,90,74,2024-09-28 12:52:18,2024-09-28 13:03:18,Business District,Residential Area,16.42,29.88
167,375,74,14,2023-03-02 22:55:28,2023-03-02 23:49:28,Downtown,City Center,39.0,74.5
168,179,56,54,2024-12-23 13:02:37,2024-12-23 14:02:37,Airport,Suburb,38.98,75.97
169,383,84,109,2024-04-12 19:42:58,2024-04-12 19:47:58,Residential Area,Hotel District,32.35,52.28
170,28,40,36,2023-09-06 00:29:30,2023-09-06 01:08:30,Business District,Train Station,17.69,38.79
171,358,29,11,2023-02-09 05:45:27,2023-02-09 06:33:27,Restaurant District,Stadium,48.61,87.41
172,386,77,74,2024-01-28 00:50:13,2024-01-28 01:00:13,Shopping Mall,Stadium,15.91,28.87
173,202,19,33,2023-09-19 02:37:44,2023-09-19 02:47:44,Beach,Business District,37.78,61.67
174,281,52,101,2023-03-08 01:59:14,2023-03-08 02:29:14,Park,Stadium,39.14,68.71
175,67,98,82,2024-01-09 13:02:42,2024-01-09 13:42:42,Shopping Mall,Beach,20.98,43.97
176,293,26,72,2024-04-23 11:00:47,2024-04-23 11:52:47,Park,Shopping Mall,13.63,35.95
177,137,100,56,2023-09-09 04:49:47,2023-09-09 05:37:47,City Center,Business District,6.3,23.95
178,344,53,55,2023-10-11 17:04:56,2023-10-11 17:31:56,Shopping Mall,Hospital,18.54,37.06
179,336,4,66,2023-05-12 11:08:48,2023-05-12 11:35:48,Business District,Suburb,49.53,83.55
180,227,80,81,2023-12-09 02:50:00,2023-12-09 02:57:00,City Center,Suburb,13.21,24.07
181,351,48,20,2024-08-11 13:10:53,2024-08-11 14:01:53,Suburb,Airport,7.39,26.34
182,28,32,80,2024-12-20 19:29:37,2024-12-20 19:43:37,Suburb,University,2.66,9.99
183,356,15,57,2023-12-16 13:45:20,2023-12-16 14:20:20,Downtown,Hospital,12.03,29.29
184,276,28,104,2024-02-29 10:05:08,2024-02-29 10:43:08,Hotel District,University,28.34,54.51
185,319,94,48,2024-06-23 21:03:54,2024-06-23 21:52:54,Residential Area,Downtown,20.08,44.87
186,464,85,79,2023-07-18 10:03:05,2023-07-18 10:18:05,Downtown,University,11.63,23.7
187,357,80,92,2023-02-11 05:34:50,2023-02-11 06:08:50,Residential Area,Downtown,5.2,18.8
188,339,35,47,2024-11-02 07:23:21,2024-11-02 07:34:21,Downtown,University,43.64,70.71
189,333,50,30,2023-10-23 16:47:05,2023-10-23 17:24:05,Restaurant District,Airport,45.39,79.84
190,249,77,69,2023-03-10 08:49:27,2023-03-10 09:05:27,Shopping Mall,Park,48.41,79.11
191,288,92,3,2023-01-31 21:02:18,2023-01-31 21:22:18,City Center,Park,16.64,32.46
192,251,51,96,2023-05-02 22:47:24,2023-05-02 22:53:24,Hospital,Residential Area,18.89,32.34
193,321,39,40,2024-01-25 08:00:16,2024-01-25 08:22:16,Hotel District,Downtown,32.04,56.06
194,450,50,114,2024-09-24 22:03:57,2024-09-24 22:09:57,Park,University,12.83,23.25
195,175,51,85,2023-04-17 14:43:28,2023-04-17 14:53:28,Restaurant District,Stadium,26.99,45.48
196,348,79,112,2024-04-30 20:37:25,2024-04-30 21:25:25,Shopping Mall,Stadium,13.54,34.81
197,79,55,35,2024-12-07 14:41:48,2024-12-07 15:24:48,Hospital,Beach,28.03,55.3
198,106,84,18,2024-03-27 07:11:50,2024-03-27 07:50:50,Residential Area,Hotel District,11.71,29.82
199,71,40,36,2023-12-01 00:58:46,2023-12-01 01:52:46,Train Station,Residential Area,46.79,86.19
200,470,21,96,2023-02-22 16:08:43,2023-02-22 16:48:43,Park,Restaurant District,7.68,24.02
201,163,19,22,2024-08-17 12:44:34,2024-08-17 13:09:34,City Center,Stadium,48.14,80.96
202,156,57,86,2024-12-26 06:42:24,2024-12-26 07:39:24,City Center,Residential Area,46.8,86.95
203,141,20,46,2023-03-24 22:21:49,2023-03-24 22:34:49,Train Station,Downtown,38.6,63.65
204,314,79,35,2024-04-15 09:17:10,2024-04-15 09:58:10,Business District,Shopping Mall,30.63,58.7
205,119,88,42,2023-10-07 01:07:00,2023-10-07 01:17:00,Restaurant District,Hotel District,24.88,42.32
206,258,78,61,2024-07-07 00:59:54,2024-07-07 01:45:54,Hospital,Train Station,42.9,78.35
207,252,61,21,2023-05-08 05:11:57,2023-05-08 05:28:57,Shopping Mall,Downtown,21.61,39.16
208,497,2,19,2023-11-17 19:41:55,2023-11-17 20:00:55,Restaurant District,Residential Area,49.44,81.41
209,388,27,64,2023-05-18 12:58:36,2023-05-18 13:31:36,Suburb,Business District,25.52,49.03
210,167,59,13,2023-11-29 02:12:56,2023-11-29 02:42:56,Hotel District,Downtown,31.18,56.77
211,423,49,93,2023-09-01 00:49:55,2023-09-01 01:19:55,Business District,Restaurant District,29.45,54.17
212,275,68,99,2024-02-09 09:36:09,2024-02-09 09:47:09,Beach,Suburb,44.13,71.45
213,450,32,67,2024-02-22 18:36:27,2024-02-22 19:06:27,Restaurant District,Downtown,28.77,53.16
214,265,98,82,2023-05-28 11:04:00,2023-05-28 11:27:00,Beach,Stadium,44.45,74.93
215,397,37,108,2023-05-10 07:32:06,2023-05-10 08:04:06,University,Business District,46.11,79.66
216,354,67,59,2023-12-27 01:44:16,2023-12-27 02:42:16,Residential Area,Beach,6.34,26.51
217,257,15,16,2024-08-27 20:36:02,2024-08-27 21:18:02,City Center,Restaurant District,28.23,55.34
218,202,53,42,2023-12-17 05:07:17,2023-12-17 05:13:17,Train Station,Beach,30.34,49.51
219,365,26,113,2023-12-20 03:54:33,2023-12-20 04:04:33,University,Hospital,35.2,57.8
220,465,92,102,2023-05-08 09:04:12,2023-05-08 09:54:12,Restaurant District,Airport,6.38,24.57
221,362,58,117,2023-10-09 21:45:18,2023-10-09 21:55:18,Park,Restaurant District,20.44,35.66
222,406,66,79,2023-05-05 04:44:45,2023-05-05 05:13:45,Park,Stadium,4.11,15.92
223,88,43,88,2024-11-07 18:18:35,2024-11-07 19:05:35,Suburb,Train Station,9.78,28.92
224,75,23,32,2023-11-22 21:34:10,2023-11-22 21:58:10,University,Restaurant District,38.89,66.84
225,229,37,7,2023-04-02 07:21:53,2023-04-02 07:34:53,Shopping Mall,Downtown,31.88,53.57
226,130,2,19,2024-01-22 12:27:03,2024-01-22 13:26:03,Beach,Park,40.76,78.39
227,312,64,31,2023-06-18 10:49:17,2023-06-18 11:31:17,Residential Area,Beach,23.78,48.67
228,227,11,77,2024-04-11 02:42:50,2024-04-11 02:47:50,Shopping Mall,City Center,28.27,46.16
229,318,81,91,2023-02-07 23:54:45,2023-02-08 00:10:45,Train Station,Downtown,33.36,56.54
230,19,19,22,2024-06-02 01:43:00,2024-06-02 02:24:00,Suburb,Business District,16.33,37.24
231,472,12,3,2023-03-26 13:48:46,2023-03-26 14:19:46,Train Station,Residential Area,15.65,33.73
232,339,89,60,2023-12-20 16:06:44,2023-12-20 16:58:44,Business District,Hospital,46.71,85.56
233,48,99,120,2023-09-08 17:50:07,2023-09-08 18:18:07,City Center,Stadium,41.37,71.55
234,389,55,35,2023-08-16 10:47:50,2023-08-16 11:22:50,Train Station,Airport,35.34,64.26
235,141,43,88,2023-11-18 09:00:23,2023-11-18 09:38:23,Shopping Mall,Restaurant District,12.03,30.04
236,30,14,1,2024-01-11 16:07:53,2024-01-11 16:58:53,Restaurant District,Business District,46.83,85.5
237,362,37,108,2024-04-17 21:41:09,2024-04-17 22:40:09,Hospital,University,27.22,58.08
238,320,46,37,2024-04-22 03:11:42,2024-04-22 03:52:42,Beach,Park,37.0,68.25
239,255,64,104,2023-05-20 17:42:49,2023-05-20 18:26:49,Shopping Mall,Restaurant District,15.94,37.41
240,100,1,17,2023-01-19 15:08:46,2023-01-19 15:42:46,Residential Area,Hotel District,7.66,22.49
241,435,27,75,2023-11-18 14:17:10,2023-11-18 14:24:10,Hospital,Park,40.69,65.28
242,109,2,19,2024-06-19 22:51:01,2024-06-19 23:14:01,University,Hotel District,5.26,16.14
243,154,65,106,2024-08-18 18:31:26,2024-08-18 18:36:26,Airport,Residential Area,18.0,30.75
244,203,93,73,2024-04-23 10:56:53,2024-04-23 11:02:53,Suburb,Train Station,11.31,20.96
245,427,44,44,2024-12-12 14:31:01,2024-12-12 15:06:01,Hotel District,Downtown,32.99,60.73
246,247,20,119,2023-12-24 18:32:26,2023-12-24 19:32:26,Park,City Center,18.09,44.63
247,402,53,119,2024-07-30 18:46:52,2024-07-30 18:54:52,Suburb,Park,16.37,29.05
248,372,87,109,2024-03-07 05:15:11,2024-03-07 05:54:11,Downtown,Shopping Mall,29.72,56.83
249,170,46,37,2023-04-26 23:14:42,2023-04-26 23:36:42,Suburb,Downtown,18.28,35.42
250,193,81,91,2024-03-19 11:52:09,2024-03-19 12:35:09,Stadium,Train Station,30.57,59.11
251,443,97,40,2024-07-01 19:06:52,2024-07-01 20:05:52,Hospital,Restaurant District,3.52,22.53
252,212,12,89,2024-11-12 05:22:24,2024-11-12 05:42:24,Hospital,Beach,41.81,70.22
253,155,28,104,2023-05-16 22:28:26,2023-05-16 22:40:26,Hospital,Hotel District,3.79,11.19
254,104,12,89,2024-01-29 00:25:29,2024-01-29 00:31:29,Hotel District,Beach,45.44,72.16
255,79,25,95,2024-12-18 09:50:14,2024-12-18 10:25:14,Restaurant District,Suburb,27.13,51.95
256,398,42,69,2024-08-20 16:10:22,2024-08-20 17:10:22,Airport,Suburb,49.15,91.22
257,265,87,83,2023-06-09 08:57:53,2023-06-09 09:48:53,Downtown,Beach,20.6,46.15
258,443,67,59,2023-01-04 04:36:48,2023-01-04 05:00:48,City Center,Downtown,34.98,60.97
259,305,12,89,2023-12-29 15:11:51,2023-12-29 15:18:51,Airport,Park,38.78,62.42
260,382,40,36,2024-03-24 14:29:44,2024-03-24 15:22:44,University,Residential Area,44.82,82.98
261,165,26,25,2023-08-11 14:00:11,2023-08-11 14:22:11,Park,Hospital,39.09,66.64
262,344,16,35,2023-04-26 23:32:24,2023-04-26 23:47:24,University,Airport,2.73,10.34
263,319,72,66,2023-03-21 12:24:49,2023-03-21 12:42:49,Park,Hospital,28.37,49.55
264,139,19,34,2024-03-21 21:40:54,2024-03-21 22:00:54,Train Station,Airport,16.95,32.92
265,457,44,44,2023-02-09 09:36:16,2023-02-09 09:49:16,Downtown,Beach,45.36,73.79
266,26,14,1,2023-02-11 18:54:08,2023-02-11 19:04:08,Stadium,Train Station,35.82,58.73
267,457,76,81,2024-10-11 11:25:14,2024-10-11 12:14:14,Restaurant District,Beach,31.58,62.12
268,160,43,12,2024-07-07 17:23:40,2024-07-07 18:16:40,Residential Area,Hotel District,27.61,57.16
269,499,97,98,2023-12-28 17:11:26,2023-12-28 17:52:26,Train Station,Airport,41.02,74.28
